No,Sex,Body site
281,female ,glabella 
282,female ,hypothenar palm 
283,female ,hypothenar palm 
284,female ,hypothenar palm 
285,female ,hypothenar palm 
286,female ,inguinal crease 
287,female ,inguinal crease 
288,female ,inguinal crease 
289,female ,inguinal crease 
290,female ,manubrium 
291,female ,manubrium 
292,female ,nare 
293,female ,nare 
294,female ,nare 
295,female ,nare 
296,female ,occiput 
297,female ,occiput 
298,female ,plantar heel 
299,female ,plantar heel 
300,female ,retroauricular crease 
301,female ,retroauricular crease 
302,female ,retroauricular crease 
303,female ,retroauricular crease 
304,female ,toeweb 
305,female ,toeweb 
306,female ,volar forearm 
307,female ,volar forearm 
308,female ,volar forearm 
309,female ,volar forearm 
310,female ,toenail 
311,female ,toenail 
312,female ,toenail 
313,female ,toenail 
314,male ,toenail 
315,male ,toenail 
316,female ,hypothenar palm 
317,female ,hypothenar palm 
318,female ,manubrium 
319,female ,manubrium 
320,female ,plantar heel 
321,female ,plantar heel 
322,female ,plantar heel 
323,female ,plantar heel 
324,female ,toeweb 
325,female ,toeweb 
326,female ,toenail 
327,female ,toenail 
328,female ,antecubital crease 
329,female ,antecubital crease 
330,female ,antecubital crease 
331,female ,antecubital crease 
332,female ,back 
333,female ,back 
334,female ,external auditory canal 
335,female ,external auditory canal 
336,female ,external auditory canal 
337,female ,external auditory canal 
338,female ,glabella 
339,female ,glabella 
340,female ,hypothenar palm 
341,female ,hypothenar palm 
342,female ,hypothenar palm 
343,female ,hypothenar palm 
344,female ,inguinal crease 
345,female ,inguinal crease 
346,female ,inguinal crease 
347,female ,inguinal crease 
348,female ,manubrium 
349,female ,manubrium 
350,female ,nare 
351,female ,nare 
352,female ,nare 
353,female ,nare 
354,female ,plantar heel 
355,female ,plantar heel 
356,female ,occiput 
357,female ,occiput 
358,female ,plantar heel 
359,female ,plantar heel 
360,female ,retroauricular crease 
361,female ,retroauricular crease 
362,female ,retroauricular crease 
363,female ,retroauricular crease 
364,female ,toeweb 
365,female ,toeweb 
366,female ,toeweb 
367,female ,toeweb 
368,female ,volar forearm 
369,female ,volar forearm 
370,female ,toenail 
371,female ,toenail 
372,female ,volar forearm 
373,female ,volar forearm 
374,female ,toenail 
375,female ,toenail 
376,female ,retroauricular crease 
377,female ,retroauricular crease 
378,female ,retroauricular crease 
379,female ,retroauricular crease 
380,female ,volar forearm 
381,female ,volar forearm 
382,male ,antecubital crease 
383,male ,antecubital crease 
384,male ,antecubital crease 
385,male ,antecubital crease 
386,male ,external auditory canal 
387,male ,external auditory canal 
388,male ,external auditory canal 
389,male ,external auditory canal 
390,male ,glabella 
391,male ,glabella 
392,male ,hypothenar palm 
393,male ,hypothenar palm 
394,male ,hypothenar palm 
395,male ,hypothenar palm 
396,male ,inguinal crease 
397,male ,inguinal crease 
398,male ,inguinal crease 
399,male ,inguinal crease 
400,male ,back 
401,male ,back 
402,male ,manubrium 
403,male ,manubrium 
404,male ,nare 
405,male ,nare 
406,male ,nare 
407,male ,nare 
408,male ,occiput 
409,male ,occiput 
410,male ,plantar heel 
411,male ,plantar heel 
412,male ,plantar heel 
413,male ,plantar heel 
414,male ,retroauricular crease 
415,male ,retroauricular crease 
416,male ,retroauricular crease 
417,male ,retroauricular crease 
418,male ,toeweb 
419,male ,toeweb 
420,male ,toeweb 
421,male ,toeweb 
422,male ,volar forearm 
423,male ,volar forearm 
424,male ,volar forearm 
425,male ,volar forearm 
426,male ,toenail 
427,male ,toenail 
428,female ,antecubital crease 
429,female ,antecubital crease 
430,male ,toenail 
431,male ,toenail 
432,female ,antecubital crease 
433,female ,antecubital crease 
434,female ,external auditory canal 
435,female ,external auditory canal 
436,female ,external auditory canal 
437,female ,external auditory canal 
438,female ,glabella 
439,female ,glabella 
440,female ,hypothenar palm 
441,female ,hypothenar palm 
442,female ,hypothenar palm 
443,female ,hypothenar palm 
444,female ,inguinal crease 
445,female ,inguinal crease 
446,female ,inguinal crease 
447,female ,inguinal crease 
448,female ,back 
449,female ,back 
450,female ,manubrium 
451,female ,manubrium 
452,female ,nare 
453,female ,nare 
454,female ,nare 
455,female ,nare 
456,female ,occiput 
457,female ,occiput 
458,female ,plantar heel 
459,female ,plantar heel 
460,female ,retroauricular crease 
461,female ,retroauricular crease 
462,female ,plantar heel 
463,female ,plantar heel 
464,female ,retroauricular crease 
465,female ,retroauricular crease 
466,female ,toeweb 
467,female ,toeweb 
468,female ,toeweb 
469,female ,toeweb 
470,female ,volar forearm 
471,female ,volar forearm 
472,female ,volar forearm 
473,female ,volar forearm 
474,female ,toenail 
475,female ,toenail 
476,male ,antecubital crease 
477,male ,antecubital crease 
478,female ,toenail 
479,female ,toenail 
480,male ,antecubital crease 
481,male ,antecubital crease 
482,male ,external auditory canal 
483,male ,external auditory canal 
484,male ,external auditory canal 
485,male ,external auditory canal 
486,male ,hypothenar palm 
487,male ,hypothenar palm 
488,male ,glabella 
489,male ,glabella 
490,male ,hypothenar palm 
491,male ,hypothenar palm 
492,male ,inguinal crease 
493,male ,inguinal crease 
494,male ,inguinal crease 
495,male ,inguinal crease 
496,male ,back 
497,male ,back 
498,male ,nare 
499,male ,nare 
500,male ,manubrium 
501,male ,manubrium 
502,male ,nare 
503,male ,nare 
504,male ,plantar heel 
505,male ,plantar heel 
506,male ,plantar heel 
507,male ,plantar heel 
508,male ,occiput 
509,male ,occiput 
510,male ,retroauricular crease 
511,male ,retroauricular crease 
512,male ,retroauricular crease 
513,male ,retroauricular crease 
514,male ,toeweb 
515,male ,toeweb 
516,male ,volar forearm 
517,male ,volar forearm 
518,male ,toeweb 
519,male ,toeweb 
520,male ,volar forearm 
521,male ,volar forearm 
522,male ,toenail 
523,male ,toenail 
524,male ,toenail 
525,male ,toenail 
526,male ,antecubital crease 
527,male ,antecubital crease 
528,male ,antecubital crease 
529,male ,antecubital crease 
530,male ,external auditory canal 
531,male ,external auditory canal 
532,male ,external auditory canal 
533,male ,external auditory canal 
534,male ,glabella 
535,male ,glabella 
536,male ,hypothenar palm 
537,male ,hypothenar palm 
538,male ,hypothenar palm 
539,male ,hypothenar palm 
540,male ,inguinal crease 
541,male ,inguinal crease 
542,male ,inguinal crease 
543,male ,inguinal crease 
544,male ,back 
545,male ,back 
546,male ,manubrium 
547,male ,manubrium 
548,male ,nare 
549,male ,nare 
550,female ,plantar heel 
551,female ,plantar heel 
552,male ,nare 
553,male ,nare 
554,male ,glabella 
555,male ,glabella 
556,female ,nare 
557,female ,nare 
558,female ,occiput 
559,female ,occiput 
560,female ,plantar heel 
561,female ,plantar heel 
562,female ,plantar heel 
563,female ,plantar heel 
564,female ,retroauricular crease 
565,female ,retroauricular crease 
566,female ,retroauricular crease 
567,female ,retroauricular crease 
568,female ,toeweb 
569,female ,toeweb 
570,female ,toeweb 
571,female ,toeweb 
572,female ,volar forearm 
573,female ,volar forearm 
574,female ,volar forearm 
575,female ,volar forearm 
576,female ,toenail 
577,female ,toenail 
578,female ,toenail 
579,female ,toenail 
580,male ,antecubital crease 
581,male ,antecubital crease 
582,male ,antecubital crease 
583,male ,antecubital crease 
584,male ,external auditory canal 
585,male ,external auditory canal 
586,male ,external auditory canal 
587,male ,external auditory canal 
588,male ,glabella 
589,male ,glabella 
590,male ,hypothenar palm 
591,male ,hypothenar palm 
592,male ,hypothenar palm 
593,male ,hypothenar palm 
594,male ,inguinal crease 
595,male ,inguinal crease 
596,male ,inguinal crease 
597,male ,inguinal crease 
598,male ,back 
599,male ,back 
600,male ,manubrium 
601,male ,manubrium 
602,male ,nare 
603,male ,nare 
604,male ,nare 
605,male ,nare 
606,male ,occiput 
607,male ,occiput 
608,male ,plantar heel 
609,male ,plantar heel 
610,male ,plantar heel 
611,male ,plantar heel 
612,male ,retroauricular crease 
613,male ,retroauricular crease 
614,male ,retroauricular crease 
615,male ,retroauricular crease 
616,male ,toeweb 
617,male ,toeweb 
618,male ,toeweb 
619,male ,toeweb 
620,male ,volar forearm 
621,male ,volar forearm 
622,male ,toenail 
623,male ,toenail 
624,male ,volar forearm 
625,male ,volar forearm 
626,male ,toenail 
627,male ,toenail 
628,male ,antecubital crease 
629,male ,antecubital crease 
630,male ,antecubital crease 
631,male ,antecubital crease 
632,male ,external auditory canal 
633,male ,external auditory canal 
634,male ,external auditory canal 
635,male ,external auditory canal 
636,male ,glabella 
637,male ,glabella 
638,male ,hypothenar palm 
639,male ,hypothenar palm 
640,male ,hypothenar palm 
641,male ,hypothenar palm 
642,male ,inguinal crease 
643,male ,inguinal crease 
644,male ,back 
645,male ,back 
646,male ,inguinal crease 
647,male ,inguinal crease 
648,male ,manubrium 
649,male ,manubrium 
650,male ,nare 
651,male ,nare 
652,male ,nare 
653,male ,nare 
654,male ,occiput 
655,male ,occiput 
656,male ,plantar heel 
657,male ,plantar heel 
658,male ,plantar heel 
659,male ,plantar heel 
660,male ,retroauricular crease 
